uid,boundary
35,"POLYGON((-0.166484265347984 51.4500959104735, -0.168040193061512 51.4495360805092, -0.168040193061512 51.4484163999871, -0.166484265347984 51.4478565494293, -0.164928337634457 51.4484163999871, -0.164928337634457 51.4495360805091, -0.166484265347984 51.4500959104735))"
36,"POLYGON((-0.107359012233948 51.4500959104735, -0.108914939947475 51.4495360805092, -0.108914939947475 51.4484163999871, -0.107359012233948 51.4478565494293, -0.105803084520421 51.4484163999871, -0.105803084520421 51.4495360805092, -0.107359012233948 51.4500959104735))"
37,"POLYGON((0.070016747108161 51.4500959104735, 0.068460819394633 51.4495360805092, 0.068460819394633 51.4484163999871, 0.070016747108161 51.4478565494293, 0.071572674821688 51.4484163999871, 0.071572674821688 51.4495360805092, 0.070016747108161 51.4500959104735))"
38,"POLYGON((-0.104247156806894 51.4500959104735, -0.105803084520421 51.4495360805092, -0.105803084520421 51.4484163999871, -0.104247156806894 51.4478565494293, -0.102691229093366 51.4484163999871, -0.102691229093366 51.4495360805092, -0.104247156806894 51.4500959104735))"
39,"POLYGON((0.07624045796227 51.4500959104735, 0.074684530248742 51.4495360805092, 0.074684530248742 51.4484163999871, 0.07624045796227 51.4478565494293, 0.077796385675797 51.4484163999871, 0.077796385675797 51.4495360805092, 0.07624045796227 51.4500959104735))"
40,"POLYGON((0.073128602535215 51.4500959104735, 0.071572674821688 51.4495360805092, 0.071572674821688 51.4484163999871, 0.073128602535215 51.4478565494293, 0.074684530248742 51.4484163999871, 0.074684530248742 51.4495360805092, 0.073128602535215 51.4500959104735))"
41,"POLYGON((-0.105803084520421 51.4517753591803, -0.107359012233948 51.4512155498091, -0.107359012233948 51.4500959104735, -0.105803084520421 51.4495360805092, -0.104247156806894 51.4500959104735, -0.104247156806894 51.4512155498091, -0.105803084520421 51.4517753591803))"
42,"POLYGON((-0.108914939947475 51.4517753591803, -0.110470867661003 51.4512155498091, -0.110470867661003 51.4500959104735, -0.108914939947475 51.4495360805092, -0.107359012233948 51.4500959104735, -0.107359012233948 51.4512155498091, -0.108914939947475 51.4517753591803))"
43,"POLYGON((-0.168040193061512 51.4517753591803, -0.169596120775039 51.4512155498091, -0.169596120775039 51.4500959104735, -0.168040193061512 51.4495360805092, -0.166484265347984 51.4500959104735, -0.166484265347984 51.4512155498091, -0.168040193061512 51.4517753591803))"
44,"POLYGON((-0.102691229093366 51.4517753591803, -0.104247156806894 51.4512155498091, -0.104247156806894 51.4500959104735, -0.102691229093366 51.4495360805092, -0.101135301379839 51.4500959104735, -0.101135301379839 51.4512155498091, -0.102691229093366 51.4517753591803))"
45,"POLYGON((-0.045121903692857 51.4534547461082, -0.046677831406385 51.4528949573299, -0.046677831406385 51.4517753591803, -0.045121903692857 51.4512155498091, -0.04356597597933 51.4517753591803, -0.04356597597933 51.4528949573299, -0.045121903692857 51.4534547461082))"
46,"POLYGON((0.113582723086924 51.4534547461082, 0.112026795373397 51.4528949573299, 0.112026795373397 51.4517753591803, 0.113582723086924 51.4512155498091, 0.115138650800451 51.4517753591803, 0.115138650800451 51.4528949573299, 0.113582723086924 51.4534547461082))"
47,"POLYGON((0.119806433941033 51.4534547461082, 0.118250506227506 51.4528949573299, 0.118250506227506 51.4517753591803, 0.119806433941033 51.4512155498091, 0.12136236165456 51.4517753591803, 0.12136236165456 51.4528949573299, 0.119806433941033 51.4534547461082))"
48,"POLYGON((0.116694578513979 51.4534547461082, 0.115138650800451 51.4528949573299, 0.115138650800451 51.4517753591803, 0.116694578513979 51.4512155498091, 0.118250506227506 51.4517753591803, 0.118250506227506 51.4528949573299, 0.116694578513979 51.4534547461082))"
49,"POLYGON((-0.107359012233948 51.4534547461082, -0.108914939947475 51.4528949573299, -0.108914939947475 51.4517753591803, -0.107359012233948 51.4512155498091, -0.105803084520421 51.4517753591803, -0.105803084520421 51.4528949573299, -0.107359012233948 51.4534547461082))"
50,"POLYGON((0.071572674821688 51.4551340712582, 0.070016747108161 51.4545743030724, 0.070016747108161 51.4534547461082, 0.071572674821688 51.4528949573299, 0.073128602535215 51.4534547461082, 0.073128602535215 51.4545743030724, 0.071572674821688 51.4551340712582))"
51,"POLYGON((0.115138650800451 51.4551340712582, 0.113582723086924 51.4545743030724, 0.113582723086924 51.4534547461082, 0.115138650800451 51.4528949573299, 0.116694578513979 51.4534547461082, 0.116694578513979 51.4545743030724, 0.115138650800451 51.4551340712582))"
52,"POLYGON((0.031118554269979 51.4551340712582, 0.029562626556452 51.4545743030724, 0.029562626556452 51.4534547461082, 0.031118554269979 51.4528949573299, 0.032674481983506 51.4534547461082, 0.032674481983506 51.4545743030724, 0.031118554269979 51.4551340712582))"
53,"POLYGON((0.112026795373397 51.4551340712582, 0.11047086765987 51.4545743030724, 0.11047086765987 51.4534547461082, 0.112026795373397 51.4528949573299, 0.113582723086924 51.4534547461082, 0.113582723086924 51.4545743030724, 0.112026795373397 51.4551340712582))"
54,"POLYGON((0.118250506227506 51.4551340712582, 0.116694578513979 51.4545743030724, 0.116694578513979 51.4534547461082, 0.118250506227506 51.4528949573299, 0.119806433941033 51.4534547461082, 0.119806433941033 51.4545743030724, 0.118250506227506 51.4551340712582))"
55,"POLYGON((0.068460819394633 51.4551340712582, 0.066904891681106 51.4545743030724, 0.066904891681106 51.4534547461082, 0.068460819394633 51.4528949573299, 0.070016747108161 51.4534547461082, 0.070016747108161 51.4545743030724, 0.068460819394633 51.4551340712582))"
56,"POLYGON((0.070016747108161 51.4568133346311, 0.068460819394633 51.4562535870375, 0.068460819394633 51.4551340712582, 0.070016747108161 51.4545743030724, 0.071572674821688 51.4551340712582, 0.071572674821688 51.4562535870375, 0.070016747108161 51.4568133346311))"
57,"POLYGON((0.073128602535215 51.4568133346311, 0.071572674821688 51.4562535870375, 0.071572674821688 51.4551340712582, 0.073128602535215 51.4545743030724, 0.074684530248742 51.4551340712582, 0.074684530248742 51.4562535870375, 0.073128602535215 51.4568133346311))"
58,"POLYGON((0.11047086765987 51.4568133346311, 0.108914939946342 51.4562535870375, 0.108914939946342 51.4551340712582, 0.11047086765987 51.4545743030724, 0.112026795373397 51.4551340712582, 0.112026795373397 51.4562535870375, 0.11047086765987 51.4568133346311))"
59,"POLYGON((-0.172707976202093 51.4568133346311, -0.174263903915621 51.4562535870375, -0.174263903915621 51.4551340712582, -0.172707976202093 51.4545743030724, -0.171152048488566 51.4551340712582, -0.171152048488566 51.4562535870375, -0.172707976202093 51.4568133346311))"
60,"POLYGON((0.029562626556452 51.4568133346311, 0.028006698842924 51.4562535870375, 0.028006698842924 51.4551340712582, 0.029562626556452 51.4545743030724, 0.031118554269979 51.4551340712582, 0.031118554269979 51.4562535870375, 0.029562626556452 51.4568133346311))"
61,"POLYGON((0.116694578513979 51.4568133346311, 0.115138650800451 51.4562535870375, 0.115138650800451 51.4551340712582, 0.116694578513979 51.4545743030724, 0.118250506227506 51.4551340712582, 0.118250506227506 51.4562535870375, 0.116694578513979 51.4568133346311))"
62,"POLYGON((-0.06068118082813 51.4568133346311, -0.062237108541657 51.4562535870375, -0.062237108541657 51.4551340712582, -0.06068118082813 51.4545743030724, -0.059125253114603 51.4551340712582, -0.059125253114603 51.4562535870375, -0.06068118082813 51.4568133346311))"
63,"POLYGON((-0.062237108541657 51.4584925362276, -0.063793036255185 51.4579328092261, -0.063793036255185 51.4568133346311, -0.062237108541657 51.4562535870375, -0.06068118082813 51.4568133346311, -0.06068118082813 51.4579328092261, -0.062237108541657 51.4584925362276))"
64,"POLYGON((-0.149369060499184 51.4584925362276, -0.150924988212712 51.4579328092261, -0.150924988212712 51.4568133346311, -0.149369060499184 51.4562535870375, -0.147813132785657 51.4568133346311, -0.147813132785657 51.4579328092261, -0.149369060499184 51.4584925362276))"
65,"POLYGON((-0.059125253114603 51.4584925362276, -0.06068118082813 51.4579328092261, -0.06068118082813 51.4568133346311, -0.059125253114603 51.4562535870375, -0.057569325401075 51.4568133346311, -0.057569325401075 51.4579328092261, -0.059125253114603 51.4584925362276))"
66,"POLYGON((0.015559277134706 51.4584925362276, 0.014003349421179 51.4579328092261, 0.014003349421179 51.4568133346311, 0.015559277134706 51.4562535870375, 0.017115204848233 51.4568133346311, 0.017115204848233 51.4579328092261, 0.015559277134706 51.4584925362276))"
67,"POLYGON((0.116694578513979 51.4601716760486, 0.115138650800451 51.4596119696388, 0.115138650800451 51.4584925362276, 0.116694578513979 51.4579328092261, 0.118250506227506 51.4584925362276, 0.118250506227506 51.4596119696388, 0.116694578513979 51.4601716760486))"
68,"POLYGON((0.070016747108161 51.4601716760486, 0.068460819394633 51.4596119696388, 0.068460819394633 51.4584925362276, 0.070016747108161 51.4579328092261, 0.071572674821688 51.4584925362276, 0.071572674821688 51.4596119696388, 0.070016747108161 51.4601716760486))"
69,"POLYGON((-0.154036843639766 51.4601716760486, -0.155592771353293 51.4596119696388, -0.155592771353293 51.4584925362276, -0.154036843639766 51.4579328092261, -0.152480915926239 51.4584925362276, -0.152480915926239 51.4596119696388, -0.154036843639766 51.4601716760486))"
70,"POLYGON((0.017115204848233 51.4601716760486, 0.015559277134706 51.4596119696388, 0.015559277134706 51.4584925362276, 0.017115204848233 51.4579328092261, 0.018671132561761 51.4584925362276, 0.018671132561761 51.4596119696388, 0.017115204848233 51.4601716760486))"
71,"POLYGON((-0.144701277358602 51.4601716760486, -0.14625720507213 51.4596119696388, -0.14625720507213 51.4584925362276, -0.144701277358602 51.4579328092261, -0.143145349645075 51.4584925362276, -0.143145349645075 51.4596119696388, -0.144701277358602 51.4601716760486))"
72,"POLYGON((-0.150924988212712 51.4601716760486, -0.152480915926239 51.4596119696388, -0.152480915926239 51.4584925362276, -0.150924988212712 51.4579328092261, -0.149369060499184 51.4584925362276, -0.149369060499184 51.4596119696388, -0.150924988212712 51.4601716760486))"
73,"POLYGON((-0.147813132785657 51.4601716760486, -0.149369060499184 51.4596119696388, -0.149369060499184 51.4584925362276, -0.147813132785657 51.4579328092261, -0.14625720507213 51.4584925362276, -0.14625720507213 51.4596119696388, -0.147813132785657 51.4601716760486))"
74,"POLYGON((0.068460819394633 51.461850754095, 0.066904891681106 51.4612910682767, 0.066904891681106 51.4601716760486, 0.068460819394633 51.4596119696388, 0.070016747108161 51.4601716760486, 0.070016747108161 51.4612910682767, 0.068460819394633 51.461850754095))"
75,"POLYGON((0.071572674821688 51.461850754095, 0.070016747108161 51.4612910682767, 0.070016747108161 51.4601716760486, 0.071572674821688 51.4596119696388, 0.073128602535215 51.4601716760486, 0.073128602535215 51.4612910682767, 0.071572674821688 51.461850754095))"
76,"POLYGON((-0.024894843417003 51.461850754095, -0.02645077113053 51.4612910682767, -0.02645077113053 51.4601716760486, -0.024894843417003 51.4596119696388, -0.023338915703476 51.4601716760486, -0.023338915703476 51.4612910682767, -0.024894843417003 51.461850754095))"
77,"POLYGON((0.071572674821688 51.4652087248671, 0.070016747108161 51.4646490802308, 0.070016747108161 51.4635297703675, 0.071572674821688 51.4629701051404, 0.073128602535215 51.4635297703675, 0.073128602535215 51.4646490802308, 0.071572674821688 51.4652087248671))"
78,"POLYGON((0.074684530248742 51.4652087248671, 0.073128602535215 51.4646490802308, 0.073128602535215 51.4635297703675, 0.074684530248742 51.4629701051404, 0.07624045796227 51.4635297703675, 0.07624045796227 51.4646490802308, 0.074684530248742 51.4652087248671))"
79,"POLYGON((-0.196046891905003 51.4652087248671, -0.19760281961853 51.4646490802308, -0.19760281961853 51.4635297703675, -0.196046891905003 51.4629701051404, -0.194490964191475 51.4635297703675, -0.194490964191475 51.4646490802308, -0.196046891905003 51.4652087248671))"
80,"POLYGON((0.080908241102851 51.4652087248671, 0.079352313389324 51.4646490802308, 0.079352313389324 51.4635297703675, 0.080908241102851 51.4629701051404, 0.082464168816379 51.4635297703675, 0.082464168816379 51.4646490802308, 0.080908241102851 51.4652087248671))"
81,"POLYGON((0.077796385675797 51.4652087248671, 0.07624045796227 51.4646490802308, 0.07624045796227 51.4635297703675, 0.077796385675797 51.4629701051404, 0.079352313389324 51.4635297703675, 0.079352313389324 51.4646490802308, 0.077796385675797 51.4652087248671))"
82,"POLYGON((-0.202270602759112 51.4652087248671, -0.203826530472639 51.4646490802308, -0.203826530472639 51.4635297703675, -0.202270602759112 51.4629701051404, -0.200714675045584 51.4635297703675, -0.200714675045584 51.4646490802308, -0.202270602759112 51.4652087248671))"
83,"POLYGON((-0.199158747332057 51.4652087248671, -0.200714675045584 51.4646490802308, -0.200714675045584 51.4635297703675, -0.199158747332057 51.4629701051404, -0.19760281961853 51.4635297703675, -0.19760281961853 51.4646490802308, -0.199158747332057 51.4652087248671))"
84,"POLYGON((-0.192935036477948 51.4652087248671, -0.194490964191475 51.4646490802308, -0.194490964191475 51.4635297703675, -0.192935036477948 51.4629701051404, -0.191379108764421 51.4635297703675, -0.191379108764421 51.4646490802308, -0.192935036477948 51.4652087248671))"
85,"POLYGON((-0.189823181050893 51.4652087248671, -0.191379108764421 51.4646490802308, -0.191379108764421 51.4635297703675, -0.189823181050893 51.4629701051404, -0.188267253337366 51.4635297703675, -0.188267253337366 51.4646490802308, -0.189823181050893 51.4652087248671))"
86,"POLYGON((-0.091799735098675 51.4668876175944, -0.093355662812203 51.4663279935489, -0.093355662812203 51.4652087248671, -0.091799735098675 51.4646490802308, -0.090243807385148 51.4652087248671, -0.090243807385148 51.4663279935489, -0.091799735098675 51.4668876175944))"
87,"POLYGON((0.023338915702343 51.4668876175944, 0.021782987988815 51.4663279935489, 0.021782987988815 51.4652087248671, 0.023338915702343 51.4646490802308, 0.02489484341587 51.4652087248671, 0.02489484341587 51.4663279935489, 0.023338915702343 51.4668876175944))"
88,"POLYGON((0.070016747108161 51.4668876175944, 0.068460819394633 51.4663279935489, 0.068460819394633 51.4652087248671, 0.070016747108161 51.4646490802308, 0.071572674821688 51.4652087248671, 0.071572674821688 51.4663279935489, 0.070016747108161 51.4668876175944))"
89,"POLYGON((-0.200714675045584 51.4668876175944, -0.202270602759112 51.4663279935489, -0.202270602759112 51.4652087248671, -0.200714675045584 51.4646490802308, -0.199158747332057 51.4652087248671, -0.199158747332057 51.4663279935489, -0.200714675045584 51.4668876175944))"
90,"POLYGON((-0.185155397910312 51.4668876175945, -0.186711325623839 51.4663279935489, -0.186711325623839 51.4652087248671, -0.185155397910312 51.4646490802308, -0.183599470196784 51.4652087248671, -0.183599470196784 51.4663279935489, -0.185155397910312 51.4668876175945))"
91,"POLYGON((0.079352313389324 51.4668876175944, 0.077796385675797 51.4663279935489, 0.077796385675797 51.4652087248671, 0.079352313389324 51.4646490802308, 0.080908241102851 51.4652087248671, 0.080908241102851 51.4663279935489, 0.079352313389324 51.4668876175944))"
92,"POLYGON((0.073128602535215 51.4668876175944, 0.071572674821688 51.4663279935489, 0.071572674821688 51.4652087248671, 0.073128602535215 51.4646490802308, 0.074684530248742 51.4652087248671, 0.074684530248742 51.4663279935489, 0.073128602535215 51.4668876175944))"
93,"POLYGON((0.063793036254052 51.4668876175944, 0.062237108540524 51.4663279935489, 0.062237108540524 51.4652087248671, 0.063793036254052 51.4646490802308, 0.065348963967579 51.4652087248671, 0.065348963967579 51.4663279935489, 0.063793036254052 51.4668876175944))"
94,"POLYGON((0.07624045796227 51.4668876175944, 0.074684530248742 51.4663279935489, 0.074684530248742 51.4652087248671, 0.07624045796227 51.4646490802308, 0.077796385675797 51.4652087248671, 0.077796385675797 51.4663279935489, 0.07624045796227 51.4668876175944))"
95,"POLYGON((0.082464168816379 51.4702452177361, 0.080908241102851 51.4696856348709, 0.080908241102851 51.4685664485505, 0.082464168816379 51.4680068450953, 0.084020096529906 51.4685664485505, 0.084020096529906 51.4696856348709, 0.082464168816379 51.4702452177361))"
96,"POLYGON((-0.182043542483257 51.4702452177361, -0.183599470196784 51.4696856348709, -0.183599470196784 51.4685664485505, -0.182043542483257 51.4680068450953, -0.18048761476973 51.4685664485505, -0.18048761476973 51.4696856348709, -0.182043542483257 51.4702452177361))"
97,"POLYGON((0.07624045796227 51.4702452177361, 0.074684530248742 51.4696856348709, 0.074684530248742 51.4685664485505, 0.07624045796227 51.4680068450953, 0.077796385675797 51.4685664485505, 0.077796385675797 51.4696856348709, 0.07624045796227 51.4702452177361))"
98,"POLYGON((0.085576024243433 51.4702452177361, 0.084020096529906 51.4696856348709, 0.084020096529906 51.4685664485505, 0.085576024243433 51.4680068450953, 0.087131951956961 51.4685664485505, 0.087131951956961 51.4696856348709, 0.085576024243433 51.4702452177361))"
99,"POLYGON((0.057569325399942 51.4702452177361, 0.056013397686415 51.4696856348709, 0.056013397686415 51.4685664485505, 0.057569325399942 51.4680068450953, 0.05912525311347 51.4685664485505, 0.05912525311347 51.4696856348709, 0.057569325399942 51.4702452177361))"
100,"POLYGON((0.074684530248742 51.4719239251519, 0.073128602535215 51.4713643628766, 0.073128602535215 51.4702452177361, 0.074684530248742 51.4696856348709, 0.07624045796227 51.4702452177361, 0.07624045796227 51.4713643628766, 0.074684530248742 51.4719239251519))"
101,"POLYGON((0.006223710853543 51.4719239251519, 0.004667783140015 51.4713643628766, 0.004667783140015 51.4702452177361, 0.006223710853543 51.4696856348709, 0.00777963856707 51.4702452177361, 0.00777963856707 51.4713643628766, 0.006223710853543 51.4719239251519))"
102,"POLYGON((-0.18048761476973 51.4719239251519, -0.182043542483257 51.4713643628766, -0.182043542483257 51.4702452177361, -0.18048761476973 51.4696856348709, -0.178931687056203 51.4702452177361, -0.178931687056203 51.4713643628766, -0.18048761476973 51.4719239251519))"
103,"POLYGON((0.087131951956961 51.4719239251519, 0.085576024243433 51.4713643628766, 0.085576024243433 51.4702452177361, 0.087131951956961 51.4696856348709, 0.088687879670488 51.4702452177361, 0.088687879670488 51.4713643628766, 0.087131951956961 51.4719239251519))"
104,"POLYGON((0.077796385675797 51.4719239251519, 0.07624045796227 51.4713643628766, 0.07624045796227 51.4702452177361, 0.077796385675797 51.4696856348709, 0.079352313389324 51.4702452177361, 0.079352313389324 51.4713643628766, 0.077796385675797 51.4719239251519))"
105,"POLYGON((0.084020096529906 51.4719239251519, 0.082464168816379 51.4713643628766, 0.082464168816379 51.4702452177361, 0.084020096529906 51.4696856348709, 0.085576024243433 51.4702452177361, 0.085576024243433 51.4713643628766, 0.084020096529906 51.4719239251519))"
106,"POLYGON((0.080908241102851 51.4719239251519, 0.079352313389324 51.4713643628766, 0.079352313389324 51.4702452177361, 0.080908241102851 51.4696856348709, 0.082464168816379 51.4702452177361, 0.082464168816379 51.4713643628766, 0.080908241102851 51.4719239251519))"
107,"POLYGON((0.079352313389324 51.473602570799, 0.077796385675797 51.4730430291131, 0.077796385675797 51.4719239251519, 0.079352313389324 51.4713643628766, 0.080908241102851 51.4719239251519, 0.080908241102851 51.4730430291131, 0.079352313389324 51.473602570799))"
108,"POLYGON((0.104247156805761 51.473602570799, 0.102691229092233 51.4730430291131, 0.102691229092233 51.4719239251519, 0.104247156805761 51.4713643628766, 0.105803084519288 51.4719239251519, 0.105803084519288 51.4730430291131, 0.104247156805761 51.473602570799))"
